rabbitmq-2-1  | 2026-08-30 11:42:35.817596+00:00 [info] <0.969.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.548622+00:00 [info] <0.1551.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.548983+00:00 [info] <0.1551.0> Accepted MQTT connection 192.168.80.2:45340 -> 192.168.80.4:1883 for client ID compat-50[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.549067+00:00 [info] <0.1551.0> MQTT connection <<"192.168.80.2:45340 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.561276+00:00 [info] <0.1564.0> accepting STOMP connection <0.1564.0> (192.168.80.2:54792 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.561781+00:00 [info] <0.1568.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.563643+00:00 [info] <0.1564.0> closing STOMP connection <0.1564.0> (192.168.80.2:54792 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.564130+00:00 [info] <0.1587.0> accepting STOMP connection <0.1587.0> (192.168.80.2:54808 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.564724+00:00 [info] <0.1591.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.565972+00:00 [info] <0.1587.0> closing STOMP connection <0.1587.0> (192.168.80.2:54808 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.566266+00:00 [info] <0.1610.0> accepting STOMP connection <0.1610.0> (192.168.80.2:54824 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.566477+00:00 [info] <0.1614.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:01.567454+00:00 [info] <0.1610.0> closing STOMP connection <0.1610.0> (192.168.80.2:54824 -> 192.168.80.4:61613)[0m
rabbitmq-2-1  | 2026-08-30 11:43:24.585415+00:00 [info] <0.1734.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 11:43:24.585415+00:00 [info] <0.1734.0>     rabbitmq_mqtt[0m
rabbitmq-2-1  | 2026-08-30 11:43:24.585415+00:00 [info] <0.1734.0> [0m
rabbitmq-2-1  | 2026-08-30 11:43:24.585661+00:00 [info] <0.1734.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-2-1  | 2026-08-30 11:43:24.586025+00:00 [info] <0.1322.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 11:43:24.591855+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 11:43:24.617894+00:00 [info] <0.1734.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-2-1  | 2026-08-30 11:43:30.393152+00:00 [info] <0.1824.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 11:43:30.393152+00:00 [info] <0.1824.0>     rabbitmq_stomp[0m
rabbitmq-2-1  | 2026-08-30 11:43:30.393152+00:00 [info] <0.1824.0> [0m
rabbitmq-2-1  | 2026-08-30 11:43:30.393221+00:00 [info] <0.1824.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-2-1  | 2026-08-30 11:43:30.393386+00:00 [info] <0.1274.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 11:43:30.395100+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 11:43:30.401267+00:00 [info] <0.1824.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-2-1  | 2026-08-30 11:43:36.058635+00:00 [info] <0.1923.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 11:43:36.058635+00:00 [info] <0.1923.0>     rabbitmq_stream[0m
rabbitmq-2-1  | 2026-08-30 11:43:36.058635+00:00 [info] <0.1923.0>     rabbitmq_stream_common[0m
rabbitmq-2-1  | 2026-08-30 11:43:36.058635+00:00 [info] <0.1923.0> [0m
rabbitmq-2-1  | 2026-08-30 11:43:36.058714+00:00 [info] <0.1923.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-2-1  | 2026-08-30 11:43:36.058948+00:00 [info] <0.1296.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 11:43:36.062625+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 11:43:36.062661+00:00 [info] <0.1923.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 11:43:36.062678+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 11:43:36.073208+00:00 [info] <0.1923.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-2-1  | 2026-08-30 11:43:54.250228+00:00 [info] <0.1965.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:55.998753+00:00 [info] <0.2024.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:57.583215+00:00 [info] <0.2081.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:43:59.199938+00:00 [info] <0.2140.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:44:00.930775+00:00 [info] <0.2197.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:44:02.599524+00:00 [info] <0.2256.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.396058+00:00 [info] <0.2304.0> queue 'atlas.1788090244052163000.quorum' in vhost '/': granting vote for {'%2F_atlas.1788090244052163000.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.410694+00:00 [info] <0.2304.0> queue 'atlas.1788090244052163000.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788090244052163000.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.431252+00:00 [info] <0.2309.0> rabbit_stream_coordinator: started writer __atlas_1788090244052163000_stream_1788090245416906639 on 'rabbit@rabbitmq-1' in 1[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.440849+00:00 [info] <0.2313.0> Stream: __atlas_1788090244052163000_stream_1788090245416906639 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/stream/__atlas_1788090244052163000_stream_1788090245416906639 for osiris log data directory[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.446672+00:00 [info] <0.2313.0> __atlas_1788090244052163000_stream_1788090245416906639 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.448649+00:00 [info] <0.2311.0> rabbit_stream_coordinator: __atlas_1788090244052163000_stream_1788090245416906639: replica started on rabbit@rabbitmq-2 in 1 pid <0.2313.0>[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.450987+00:00 [info] <0.2310.0> rabbit_stream_coordinator: __atlas_1788090244052163000_stream_1788090245416906639: replica started on rabbit@rabbitmq-3 in 1 pid <15328.2276.0>[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.473522+00:00 [info] <0.2317.0> rabbit_stream_coordinator: Member deleted for __atlas_1788090244052163000_stream_1788090245416906639 : on node rabbit@rabbitmq-2[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.473753+00:00 [info] <0.2316.0> rabbit_stream_coordinator: Member deleted for __atlas_1788090244052163000_stream_1788090245416906639 : on node rabbit@rabbitmq-1[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.473976+00:00 [info] <0.2315.0> rabbit_stream_coordinator: Member deleted for __atlas_1788090244052163000_stream_1788090245416906639 : on node rabbit@rabbitmq-3[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 11:44:05.480347+00:00 [notice] <0.2304.0> queue 'atlas.1788090244052163000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.482248+00:00 [info] <0.2320.0> Deleting server '%2F_atlas.1788090244052163000.quorum' and its data directory.[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.720022+00:00 [info] <0.2334.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/3UQATRR54XVT6A9I8PML6P200' for vhost 'atlas-secops-1788090245667282000' exists[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.721629+00:00 [info] <0.2334.0> Setting segment_entry_count for vhost 'atlas-secops-1788090245667282000' with 0 queues to '2048'[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.728655+00:00 [info] <0.2334.0> Starting message stores for vhost 'atlas-secops-1788090245667282000'[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.729988+00:00 [info] <0.2334.0> Started message store of type transient for vhost 'atlas-secops-1788090245667282000'[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:44:05.730628+00:00 [warning] <0.2348.0> Message store "3UQATRR54XVT6A9I8PML6P200/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.731105+00:00 [info] <0.2334.0> Started message store of type persistent for vhost 'atlas-secops-1788090245667282000'[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.731169+00:00 [info] <0.2334.0> Recovering 0 queues of type rabbit_classic_queue took 5ms[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.731199+00:00 [info] <0.2334.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 11:44:05.731233+00:00 [info] <0.2334.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 11:44:08.771846+00:00 [info] <0.2375.0> accepting AMQP connection 192.168.80.1:64627 -> 192.168.80.4:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:44:08.774570+00:00 [warning] <0.2375.0> User 'atlas-secops-1788090245667282000-user' failed to authenticate: user 'atlas-secops-1788090245667282000-user' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:44:08.774755+00:00 [error] <0.2375.0> Error on AMQP connection <0.2375.0> (192.168.80.1:64627 -> 192.168.80.4:5672, state: starting):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:44:08.774755+00:00 [error] <0.2375.0> PLAIN login refused: user 'atlas-secops-1788090245667282000-user' - invalid credentials[0m
rabbitmq-2-1  | 2026-08-30 11:44:11.772314+00:00 [info] <0.2375.0> closing AMQP connection (192.168.80.1:64627 -> 192.168.80.4:5672, duration: '3s')[0m
rabbitmq-2-1  | 2026-08-30 11:44:14.779783+00:00 [info] <0.2383.0> accepting AMQP connection 192.168.80.1:56781 -> 192.168.80.4:5672[0m
rabbitmq-2-1  | 2026-08-30 11:44:14.781270+00:00 [info] <0.2383.0> User 'atlas-secops-1788090245667282000-user' authenticated successfully[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:44:14.781890+00:00 [error] <0.2383.0> Error on AMQP connection <0.2383.0> (192.168.80.1:56781 -> 192.168.80.4:5672, user: 'atlas-secops-1788090245667282000-user', state: opening):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:44:14.781890+00:00 [error] <0.2383.0> access to vhost '/' refused for user 'atlas-secops-1788090245667282000-user'[0m
rabbitmq-2-1  | 2026-08-30 11:44:14.782637+00:00 [info] <0.2383.0> closing AMQP connection (192.168.80.1:56781 -> 192.168.80.4:5672, vhost: 'none', user: 'atlas-secops-1788090245667282000-user', duration: '3ms')[0m
rabbitmq-2-1  | 2026-08-30 11:44:17.848072+00:00 [info] <0.2394.0> accepting AMQP connection 192.168.80.1:36199 -> 192.168.80.4:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 11:44:17.853838+00:00 [warning] <0.2394.0> User 'atlas-secops-1788090245667282000-user' failed to authenticate: user 'atlas-secops-1788090245667282000-user' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:44:17.854166+00:00 [error] <0.2394.0> Error on AMQP connection <0.2394.0> (192.168.80.1:36199 -> 192.168.80.4:5672, state: starting):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 11:44:17.854166+00:00 [error] <0.2394.0> PLAIN login refused: user 'atlas-secops-1788090245667282000-user' - invalid credentials[0m
rabbitmq-2-1  | 2026-08-30 11:44:20.846411+00:00 [info] <0.2394.0> closing AMQP connection (192.168.80.1:36199 -> 192.168.80.4:5672, duration: '2s')[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.870099+00:00 [info] <0.2404.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.929764+00:00 [info] <0.2414.0> Stopping vhost supervisor <0.2333.0> for vhost 'atlas-secops-1788090245667282000'[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.929938+00:00 [info] <0.2334.0> Virtual host 'atlas-secops-1788090245667282000' is stopping[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.930036+00:00 [info] <0.2415.0> Closing all connections in vhost 'atlas-secops-1788090245667282000' on node 'rabbit@rabbitmq-2' because the vhost is stopping[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.930141+00:00 [info] <0.2348.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/3UQATRR54XVT6A9I8PML6P200/msg_store_persistent'[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.932582+00:00 [info] <0.2348.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/3UQATRR54XVT6A9I8PML6P200/msg_store_persistent' is stopped[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.932668+00:00 [info] <0.2344.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/3UQATRR54XVT6A9I8PML6P200/msg_store_transient'[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.934897+00:00 [info] <0.2344.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/3UQATRR54XVT6A9I8PML6P200/msg_store_transient' is stopped[0m
rabbitmq-2-1  | 2026-08-30 11:44:23.935284+00:00 [info] <0.2414.0> Deleting message store directory for vhost 'atlas-secops-1788090245667282000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/3UQATRR54XVT6A9I8PML6P200'[0m
rabbitmq-2-1  | 2026-08-30 11:44:37.843809+00:00 [info] <0.2474.0> queue 'atlas.1788090277644135000.performance.quorum' in vhost '/': granting vote for {'%2F_atlas.1788090277644135000.performance.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 11:44:37.845641+00:00 [info] <0.2474.0> queue 'atlas.1788090277644135000.performance.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788090277644135000.performance.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 11:44:38.178299+00:00 [notice] <0.2474.0> queue 'atlas.1788090277644135000.performance.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-2-1  | 2026-08-30 11:44:38.180664+00:00 [info] <0.2481.0> Deleting server '%2F_atlas.1788090277644135000.performance.quorum' and its data directory.[0m
rabbitmq-2-1  | 2026-08-30 11:44:38.187067+00:00 [info] <0.2484.0> rabbit_stream_coordinator: started writer __atlas_1788090277644135000_performance_stream_1788090278184600252 on 'rabbit@rabbitmq-1' in 1[0m
rabbitmq-2-1  | 2026-08-30 11:44:38.189067+00:00 [info] <0.2488.0> Stream: __atlas_1788090277644135000_performance_stream_1788090278184600252 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/stream/__atlas_1788090277644135000_performance_stream_1788090278184600252 for osiris log data directory[0m
rabbitmq-2-1  | 2026-08-30 11:44:38.190044+00:00 [info] <0.2488.0> __atlas_1788090277644135000_performance_stream_1788090278184600252 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-2-1  | 2026-08-30 11:44:38.192279+00:00 [info] <0.2486.0> rabbit_stream_coordinator: __atlas_1788090277644135000_performance_stream_1788090278184600252: replica started on rabbit@rabbitmq-2 in 1 pid <0.2488.0>[0m
rabbitmq-2-1  | 2026-08-30 11:44:38.193615+00:00 [info] <0.2485.0> rabbit_stream_coordinator: __atlas_1788090277644135000_performance_stream_1788090278184600252: replica started on rabbit@rabbitmq-3 in 1 pid <15328.2445.0>[0m
