rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:18.672766+00:00 [warning] <0.1044.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.914229+00:00 [info] <0.1503.0> closing STOMP connection <0.1503.0> (192.168.80.4:49472 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.160888+00:00 [info] <0.1526.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.164818+00:00 [info] <0.1526.0> Accepted MQTT connection 192.168.80.4:54934 -> 192.168.80.2:1883 for client ID sub-qos0-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.182448+00:00 [info] <0.1529.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.186028+00:00 [info] <0.1529.0> Accepted MQTT connection 192.168.80.4:54940 -> 192.168.80.2:1883 for client ID pub-qos0-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.186526+00:00 [info] <0.1526.0> MQTT connection <<"192.168.80.4:54934 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.186836+00:00 [info] <0.1529.0> MQTT connection <<"192.168.80.4:54940 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.215783+00:00 [info] <0.1540.0> accepting STOMP connection <0.1540.0> (192.168.80.4:49488 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.218270+00:00 [info] <0.1544.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.222010+00:00 [info] <0.1540.0> closing STOMP connection <0.1540.0> (192.168.80.4:49488 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:48.241269+00:00 [warning] <0.1561.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:48.241561+00:00 [error] <0.1561.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:51.245574+00:00 [error] <0.1561.0> Rejected MQTT connection 192.168.80.4:54954 -> 192.168.80.2:1883 with Connect Reason Code 134[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.381588+00:00 [info] <0.1567.0> accepting STOMP connection <0.1567.0> (192.168.80.4:40028 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:54.383916+00:00 [warning] <0.1571.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:54.385889+00:00 [warning] <0.1567.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> STOMP error frame sent:[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Message: "Bad CONNECT"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Server private detail: none[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.449321+00:00 [info] <0.1567.0> closing STOMP connection <0.1567.0> (192.168.80.4:40028 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.536143+00:00 [info] <0.1576.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.541674+00:00 [info] <0.1576.0> Accepted MQTT connection 192.168.80.4:35958 -> 192.168.80.2:1883 for client ID compat-31[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.542634+00:00 [info] <0.1576.0> MQTT connection <<"192.168.80.4:35958 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.544415+00:00 [info] <0.1581.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.545594+00:00 [info] <0.1581.0> Accepted MQTT connection 192.168.80.4:35966 -> 192.168.80.2:1883 for client ID compat-311[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.547075+00:00 [info] <0.1581.0> MQTT detected network error for <<"192.168.80.4:35966 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.547421+00:00 [info] <0.1583.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.549279+00:00 [info] <0.1583.0> Accepted MQTT connection 192.168.80.4:35970 -> 192.168.80.2:1883 for client ID compat-50[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.549350+00:00 [info] <0.1583.0> MQTT detected network error for <<"192.168.80.4:35970 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.606103+00:00 [info] <0.1594.0> accepting STOMP connection <0.1594.0> (192.168.80.4:40036 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.606821+00:00 [info] <0.1598.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.638707+00:00 [info] <0.1594.0> closing STOMP connection <0.1594.0> (192.168.80.4:40036 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.639404+00:00 [info] <0.1617.0> accepting STOMP connection <0.1617.0> (192.168.80.4:40040 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.639709+00:00 [info] <0.1621.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649378+00:00 [info] <0.1617.0> closing STOMP connection <0.1617.0> (192.168.80.4:40040 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649622+00:00 [info] <0.1636.0> accepting STOMP connection <0.1636.0> (192.168.80.4:40056 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649975+00:00 [info] <0.1640.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.655605+00:00 [info] <0.1636.0> closing STOMP connection <0.1636.0> (192.168.80.4:40056 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:21:39.866015+00:00 [info] <0.1775.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:21:39.866015+00:00 [info] <0.1775.0>     rabbitmq_mqtt[0m
rabbitmq-2-1  | 2026-08-30 14:21:39.866015+00:00 [info] <0.1775.0> [0m
rabbitmq-2-1  | 2026-08-30 14:21:39.869636+00:00 [info] <0.1775.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-2-1  | 2026-08-30 14:21:39.873424+00:00 [info] <0.1353.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:21:39.951443+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:21:40.026040+00:00 [info] <0.1775.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-2-1  | 2026-08-30 14:21:54.822600+00:00 [info] <0.1874.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.822600+00:00 [info] <0.1874.0>     rabbitmq_stomp[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.822600+00:00 [info] <0.1874.0> [0m
rabbitmq-2-1  | 2026-08-30 14:21:54.822870+00:00 [info] <0.1874.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.823605+00:00 [info] <0.1305.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:21:54.840538+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.870185+00:00 [info] <0.1874.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0>     rabbitmq_stream[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0>     rabbitmq_stream_common[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0> [0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488668+00:00 [info] <0.1963.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.489199+00:00 [info] <0.1327.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:22:04.517840+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.518157+00:00 [info] <0.1963.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:22:04.518252+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.588431+00:00 [info] <0.1963.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-2-1  | 2026-08-30 14:22:33.310100+00:00 [info] <0.2014.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:22:40.362207+00:00 [info] <0.2075.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:22:50.899539+00:00 [info] <0.2137.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:03.519776+00:00 [info] <0.2197.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:09.903769+00:00 [info] <0.2258.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:14.304851+00:00 [info] <0.2330.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:23.884709+00:00 [info] <0.2378.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': granting vote for {'%2F_atlas.1788099799269440000.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:23:23.905288+00:00 [info] <0.2378.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788099799269440000.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | 2026-08-30 14:23:24.220679+00:00 [info] <0.2383.0> Stream: __atlas_1788099799269440000_stream_1788099804047019522 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/stream/__atlas_1788099799269440000_stream_1788099804047019522 for osiris log data directory[0m
rabbitmq-2-1  | 2026-08-30 14:23:24.292756+00:00 [info] <0.2383.0> __atlas_1788099799269440000_stream_1788099804047019522 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:23:24.535405+00:00 [notice] <0.2378.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-2-1  | 2026-08-30 14:23:24.543693+00:00 [info] <0.2390.0> Deleting server '%2F_atlas.1788099799269440000.quorum' and its data directory.[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.125082+00:00 [info] <0.2401.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB' for vhost 'atlas-secops-1788099805014730000' exists[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.131137+00:00 [info] <0.2401.0> Setting segment_entry_count for vhost 'atlas-secops-1788099805014730000' with 0 queues to '2048'[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.153571+00:00 [info] <0.2401.0> Starting message stores for vhost 'atlas-secops-1788099805014730000'[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.159377+00:00 [info] <0.2401.0> Started message store of type transient for vhost 'atlas-secops-1788099805014730000'[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:23:25.162445+00:00 [warning] <0.2412.0> Message store "6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.166050+00:00 [info] <0.2401.0> Started message store of type persistent for vhost 'atlas-secops-1788099805014730000'[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.167473+00:00 [info] <0.2401.0> Recovering 0 queues of type rabbit_classic_queue took 26ms[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.167564+00:00 [info] <0.2401.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.167639+00:00 [info] <0.2401.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 14:23:28.353471+00:00 [info] <0.2431.0> accepting AMQP connection 192.168.80.1:38160 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:23:28.367469+00:00 [warning] <0.2431.0> User 'atlas-secops-1788099805014730000-user' failed to authenticate: user 'atlas-secops-1788099805014730000-user' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:28.368264+00:00 [error] <0.2431.0> Error on AMQP connection <0.2431.0> (192.168.80.1:38160 -> 192.168.80.2:5672, state: starting):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:28.368264+00:00 [error] <0.2431.0> PLAIN login refused: user 'atlas-secops-1788099805014730000-user' - invalid credentials[0m
rabbitmq-2-1  | 2026-08-30 14:23:31.352621+00:00 [info] <0.2431.0> closing AMQP connection (192.168.80.1:38160 -> 192.168.80.2:5672, duration: '3s')[0m
rabbitmq-2-1  | 2026-08-30 14:23:34.375853+00:00 [info] <0.2441.0> accepting AMQP connection 192.168.80.1:38727 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | 2026-08-30 14:23:34.409004+00:00 [info] <0.2441.0> User 'atlas-secops-1788099805014730000-user' authenticated successfully[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:34.417898+00:00 [error] <0.2441.0> Error on AMQP connection <0.2441.0> (192.168.80.1:38727 -> 192.168.80.2:5672, user: 'atlas-secops-1788099805014730000-user', state: opening):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:34.417898+00:00 [error] <0.2441.0> access to vhost '/' refused for user 'atlas-secops-1788099805014730000-user'[0m
rabbitmq-2-1  | 2026-08-30 14:23:34.422459+00:00 [info] <0.2441.0> closing AMQP connection (192.168.80.1:38727 -> 192.168.80.2:5672, vhost: 'none', user: 'atlas-secops-1788099805014730000-user', duration: '48ms')[0m
rabbitmq-2-1  | 2026-08-30 14:23:37.626287+00:00 [info] <0.2450.0> accepting AMQP connection 192.168.80.1:62448 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:23:37.632872+00:00 [warning] <0.2450.0> User 'atlas-secops-1788099805014730000-user' failed to authenticate: user 'atlas-secops-1788099805014730000-user' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:37.633458+00:00 [error] <0.2450.0> Error on AMQP connection <0.2450.0> (192.168.80.1:62448 -> 192.168.80.2:5672, state: starting):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:37.633458+00:00 [error] <0.2450.0> PLAIN login refused: user 'atlas-secops-1788099805014730000-user' - invalid credentials[0m
rabbitmq-2-1  | 2026-08-30 14:23:40.630847+00:00 [info] <0.2450.0> closing AMQP connection (192.168.80.1:62448 -> 192.168.80.2:5672, duration: '3s')[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.681342+00:00 [info] <0.2461.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.829842+00:00 [info] <0.2471.0> Stopping vhost supervisor <0.2400.0> for vhost 'atlas-secops-1788099805014730000'[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.830397+00:00 [info] <0.2401.0> Virtual host 'atlas-secops-1788099805014730000' is stopping[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.830677+00:00 [info] <0.2472.0> Closing all connections in vhost 'atlas-secops-1788099805014730000' on node 'rabbit@rabbitmq-2' because the vhost is stopping[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.830739+00:00 [info] <0.2412.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_persistent'[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.840549+00:00 [info] <0.2412.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_persistent' is stopped[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.840763+00:00 [info] <0.2408.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_transient'[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.844340+00:00 [info] <0.2408.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_transient' is stopped[0m
rabbitmq-2-1  | 2026-08-30 14:23:43.845105+00:00 [info] <0.2471.0> Deleting message store directory for vhost 'atlas-secops-1788099805014730000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB'[0m
rabbitmq-2-1  | 2026-08-30 14:23:47.891964+00:00 [info] <0.2490.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:47.902963+00:00 [info] <0.2495.0> User 'atlas-scenario-20260830t141832z3367' authenticated successfully[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:23:47.903169+00:00 [warning] <0.2495.0> HTTP access denied: user 'atlas-scenario-20260830t141832z3367' - Not management user[0m
rabbitmq-2-1  | 2026-08-30 14:23:49.452276+00:00 [info] <0.2517.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:02.346689+00:00 [info] <0.2601.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:11.766758+00:00 [info] <0.2681.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:16.923503+00:00 [info] <0.2756.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:41.441497+00:00 [info] <0.2911.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:54.567952+00:00 [info] <0.3020.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:57.815973+00:00 [info] <0.3066.0> accepting AMQP connection 192.168.80.1:32484 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:24:57.819755+00:00 [warning] <0.3066.0> closing AMQP connection <0.3066.0> (192.168.80.1:32484 -> 192.168.80.2:5672, duration: '4ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:24:57.819755+00:00 [warning] <0.3066.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:24:59.477307+00:00 [info] <0.3085.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:25:24.342979+00:00 [info] <0.3167.0> queue 'atlas.1788099923809659000.performance.quorum' in vhost '/': granting vote for {'%2F_atlas.1788099923809659000.performance.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:25:24.352566+00:00 [info] <0.3167.0> queue 'atlas.1788099923809659000.performance.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788099923809659000.performance.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:25:26.383139+00:00 [notice] <0.3167.0> queue 'atlas.1788099923809659000.performance.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-2-1  | 2026-08-30 14:25:26.391422+00:00 [info] <0.3176.0> Deleting server '%2F_atlas.1788099923809659000.performance.quorum' and its data directory.[0m
rabbitmq-2-1  | 2026-08-30 14:25:26.470560+00:00 [info] <0.3179.0> Stream: __atlas_1788099923809659000_performance_stream_1788099926414185441 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/stream/__atlas_1788099923809659000_performance_stream_1788099926414185441 for osiris log data directory[0m
rabbitmq-2-1  | 2026-08-30 14:25:26.472400+00:00 [info] <0.3179.0> __atlas_1788099923809659000_performance_stream_1788099926414185441 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> memory resource limit alarm set on node 'rabbit@rabbitmq-1'.[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> [0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> **********************************************************[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> *** Publishers will be blocked until this alarm clears ***[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> **********************************************************[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> [0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:36.250834+00:00 [warning] <0.775.0> memory resource limit alarm cleared on node 'rabbit@rabbitmq-1'[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:36.251404+00:00 [warning] <0.775.0> memory resource limit alarm cleared across the cluster[0m
rabbitmq-2-1  | 2026-08-30 14:25:36.844130+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': granting vote for {'%2F_atlas.1788099936787510000.quorum-recovery','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:25:36.851981+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': detected a new leader {'%2F_atlas.1788099936787510000.quorum-recovery','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.486581+00:00 [info] <0.795.0> rabbit on node 'rabbit@rabbitmq-1' down[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.530238+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': Leader monitor down with shutdown, setting election timeout[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.554242+00:00 [info] <0.817.0> rabbit_stream_coordinator: Leader monitor down with shutdown, setting election timeout[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.604659+00:00 [info] <0.795.0> node 'rabbit@rabbitmq-1' down: connection_closed[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.621835+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': granting vote for {'%2F_atlas.1788099936787510000.quorum-recovery','rabbit@rabbitmq-3'} with last {index, term} {9,1} for term 2 previous term was 2[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.629306+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': detected a new leader {'%2F_atlas.1788099936787510000.quorum-recovery','rabbit@rabbitmq-3'} in term 2[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:25:38.020394+00:00 [notice] <0.817.0> rabbit_stream_coordinator: candidate -> leader in term: 23 machine version: 7, last applied 617[0m
