rabbitmq-2-1  | 2026-08-30 14:19:13.080966+00:00 [info] <0.211.0> Running boot step rabbit_event defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.231219+00:00 [info] <0.211.0> Running boot step rabbit_classic_queue defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.231265+00:00 [info] <0.211.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.231279+00:00 [info] <0.211.0> Running boot step rabbit_definitions_hashing defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.231318+00:00 [info] <0.211.0> Running boot step rabbit_exchange_parameters defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.236811+00:00 [info] <0.211.0> Running boot step rabbit_policies defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.237136+00:00 [info] <0.211.0> Running boot step rabbit_quorum_queue_type defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.237204+00:00 [info] <0.211.0> Running boot step rabbit_stream_queue defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.237253+00:00 [info] <0.211.0> Running boot step rabbit_policy defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.237297+00:00 [info] <0.211.0> Running boot step rabbit_quorum_event_subscriber defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.237622+00:00 [info] <0.211.0> Running boot step rabbit_quorum_queue defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.237837+00:00 [info] <0.211.0> Running boot step quorum_memory_alarm_handler defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.237878+00:00 [info] <0.211.0> Running boot step rabbit_stream_coordinator defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.255201+00:00 [info] <0.211.0> Running boot step rabbit_vhost_limit defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.255325+00:00 [info] <0.211.0> Running boot step rabbit_mgmt_reset_handler defined by app rabbitmq_management[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.255390+00:00 [info] <0.211.0> Running boot step rabbit_mgmt_db_handler defined by app rabbitmq_management_agent[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.255808+00:00 [info] <0.211.0> Management plugin: using rates mode 'basic'[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.263715+00:00 [info] <0.211.0> Running boot step recovery defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.264084+00:00 [info] <0.830.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.417811+00:00 [info] <0.817.0> rabbit_stream_coordinator: granting vote for {rabbit_stream_coordinator,'rabbit@rabbitmq-1'} with last {index, term} {580,20} for term 21 previous term was 20[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.447610+00:00 [info] <0.817.0> rabbit_stream_coordinator: detected a new leader {rabbit_stream_coordinator,'rabbit@rabbitmq-1'} in term 21[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.475537+00:00 [info] <0.830.0> Starting message stores for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.529106+00:00 [info] <0.830.0> Started message store of type transient for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.759639+00:00 [info] <0.795.0> rabbit on node 'rabbit@rabbitmq-3' up[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.984997+00:00 [info] <0.830.0> Started message store of type persistent for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.986537+00:00 [info] <0.830.0> Recovering 0 queues of type rabbit_classic_queue took 623ms[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.986910+00:00 [info] <0.830.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.989084+00:00 [info] <0.830.0> Recovering 0 queues of type rabbit_stream_queue took 2ms[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.992108+00:00 [info] <0.211.0> Running boot step prevent_startup_if_node_was_reset defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.992557+00:00 [info] <0.211.0> Running boot step empty_db_check defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.995938+00:00 [info] <0.211.0> Will not seed default virtual host and user: have definitions to load...[0m
rabbitmq-2-1  | 2026-08-30 14:19:13.996000+00:00 [info] <0.211.0> Running boot step rabbit_observer_cli defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.000243+00:00 [info] <0.211.0> Running boot step rabbit_core_metrics_gc defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.002038+00:00 [info] <0.211.0> Running boot step background_gc defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.002274+00:00 [info] <0.211.0> Running boot step rabbit_observer_cli_classic_queues defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.003536+00:00 [info] <0.211.0> Running boot step rabbit_observer_cli_quorum_queues defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.003744+00:00 [info] <0.211.0> Running boot step routing_ready defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.003802+00:00 [info] <0.211.0> Running boot step pre_flight defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.003840+00:00 [info] <0.211.0> Running boot step notify_cluster defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.003996+00:00 [info] <0.211.0> Running boot step networking defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.004110+00:00 [info] <0.795.0> rabbit on node 'rabbit@rabbitmq-1' up[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.004161+00:00 [info] <0.211.0> Running boot step rabbit_quorum_queue_periodic_membership_reconciliation defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.004351+00:00 [info] <0.211.0> Running boot step definition_import_worker_pool defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.004418+00:00 [info] <0.566.0> Starting worker pool 'definition_import_pool' with 12 processes in it[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.004773+00:00 [info] <0.211.0> Running boot step cluster_name defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.004815+00:00 [info] <0.211.0> Running boot step virtual_host_reconciliation defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.004982+00:00 [info] <0.795.0> rabbit on node 'rabbit@rabbitmq-3' up[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.007787+00:00 [info] <0.211.0> Running boot step direct_client defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.008563+00:00 [info] <0.211.0> Running boot step logger_exchange defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.019048+00:00 [info] <0.211.0> Running boot step cluster_tags defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.023592+00:00 [info] <0.795.0> rabbit on node 'rabbit@rabbitmq-1' up[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.034154+00:00 [info] <0.211.0> Running boot step queue_type_registrations defined by app rabbit[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.034271+00:00 [info] <0.211.0> Running boot step rabbit_management_load_definitions defined by app rabbitmq_management[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.034664+00:00 [info] <0.878.0> Resetting node maintenance status[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:14.104016+00:00 [warning] <0.895.0> Deprecated features: `management_metrics_collection`: Feature `management_metrics_collection` is deprecated.[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:14.104016+00:00 [warning] <0.895.0> By default, this feature can still be used for now.[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:14.104016+00:00 [warning] <0.895.0> Its use will not be permitted by default in a future minor RabbitMQ version and the feature will be removed from a future major RabbitMQ version; actual versions to be determined.[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:14.104016+00:00 [warning] <0.895.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:14.104016+00:00 [warning] <0.895.0>     "deprecated_features.permit.management_metrics_collection = true"[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:14.104016+00:00 [warning] <0.895.0> To test RabbitMQ as if the feature was removed, set this in your configuration:[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:14.104016+00:00 [warning] <0.895.0>     "deprecated_features.permit.management_metrics_collection = false"[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.262968+00:00 [info] <0.931.0> Management plugin: HTTP (non-TLS) listener started on port 15672[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.263603+00:00 [info] <0.959.0> Statistics database started.[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.263715+00:00 [info] <0.958.0> Starting worker pool 'management_worker_pool' with 3 processes in it[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.306908+00:00 [info] <0.970.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.307266+00:00 [info] <0.878.0> Ready to start client connection listeners[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.320892+00:00 [info] <0.1014.0> started TCP listener on [::]:5672[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.997274+00:00 [info] <0.878.0> Server startup complete; 4 plugins started.[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.997274+00:00 [info] <0.878.0>  * rabbitmq_prometheus[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.997274+00:00 [info] <0.878.0>  * rabbitmq_management[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.997274+00:00 [info] <0.878.0>  * rabbitmq_management_agent[0m
rabbitmq-2-1  | 2026-08-30 14:19:14.997274+00:00 [info] <0.878.0>  * rabbitmq_web_dispatch[0m
rabbitmq-2-1  |  completed with 4 plugins.
rabbitmq-2-1  | 2026-08-30 14:19:15.040054+00:00 [info] <0.10.0> Time to start RabbitMQ: 22096 ms[0m
rabbitmq-2-1  | 2026-08-30 14:19:18.659447+00:00 [info] <0.1040.0> accepting AMQP connection 192.168.80.1:25802 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | 2026-08-30 14:19:18.661625+00:00 [info] <0.1044.0> accepting AMQP connection 192.168.80.1:18157 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | 2026-08-30 14:19:18.670632+00:00 [info] <0.1049.0> accepting AMQP connection 192.168.80.1:52001 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:19:18.670779+00:00 [error] <0.1049.0> closing AMQP connection <0.1049.0> (192.168.80.1:52001 -> 192.168.80.2:5672, duration: '0ms'):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:19:18.670779+00:00 [error] <0.1049.0> {bad_version,{3,2,0,0}}[0m
rabbitmq-2-1  | 2026-08-30 14:19:18.671933+00:00 [info] <0.1055.0> accepting AMQP connection 192.168.80.1:62280 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:19:18.672036+00:00 [error] <0.1055.0> closing AMQP 1.0 connection (192.168.80.1:62280 -> 192.168.80.2:5672, duration: '1ms'): RabbitMQ requires SASL security layer (expected protocol ID 3, but client sent protocol ID 0)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:18.672766+00:00 [warning] <0.1044.0> closing AMQP connection <0.1044.0> (192.168.80.1:18157 -> 192.168.80.2:5672, duration: '11ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:18.672766+00:00 [warning] <0.1044.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:18.704013+00:00 [warning] <0.1040.0> closing AMQP connection <0.1040.0> (192.168.80.1:25802 -> 192.168.80.2:5672, duration: '44ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:19:18.704013+00:00 [warning] <0.1040.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.821414+00:00 [info] <0.1286.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.828568+00:00 [info] <0.1305.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.837034+00:00 [info] <0.1327.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.853224+00:00 [info] <0.1333.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.858932+00:00 [info] <0.1333.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.859601+00:00 [info] <0.1353.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.861623+00:00 [info] <0.1227.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-2-1  | 2026-08-30 14:19:32.861623+00:00 [info] <0.1227.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-2-1  | 2026-08-30 14:20:44.070487+00:00 [info] <0.1480.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.102792+00:00 [info] <0.1480.0> Accepted MQTT connection 192.168.80.4:54930 -> 192.168.80.2:1883 for client ID sub-qos1-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.292428+00:00 [info] <0.1492.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.293130+00:00 [info] <0.1492.0> Accepted MQTT connection 192.168.80.4:54932 -> 192.168.80.2:1883 for client ID pub-qos1-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.297531+00:00 [info] <0.1480.0> MQTT connection <<"192.168.80.4:54930 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.297476+00:00 [info] <0.1492.0> MQTT connection <<"192.168.80.4:54932 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.809951+00:00 [info] <0.1503.0> accepting STOMP connection <0.1503.0> (192.168.80.4:49472 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:44.841881+00:00 [warning] <0.1503.0> AMQP 0-9-1 client call timeout was 70000 ms, is updated to a safe effective value of 130000 ms[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.854955+00:00 [info] <0.1507.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:44.914229+00:00 [info] <0.1503.0> closing STOMP connection <0.1503.0> (192.168.80.4:49472 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.160888+00:00 [info] <0.1526.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.164818+00:00 [info] <0.1526.0> Accepted MQTT connection 192.168.80.4:54934 -> 192.168.80.2:1883 for client ID sub-qos0-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.182448+00:00 [info] <0.1529.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.186028+00:00 [info] <0.1529.0> Accepted MQTT connection 192.168.80.4:54940 -> 192.168.80.2:1883 for client ID pub-qos0-rabbitmq-2-1883[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.186526+00:00 [info] <0.1526.0> MQTT connection <<"192.168.80.4:54934 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.186836+00:00 [info] <0.1529.0> MQTT connection <<"192.168.80.4:54940 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.215783+00:00 [info] <0.1540.0> accepting STOMP connection <0.1540.0> (192.168.80.4:49488 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.218270+00:00 [info] <0.1544.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:45.222010+00:00 [info] <0.1540.0> closing STOMP connection <0.1540.0> (192.168.80.4:49488 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:48.241269+00:00 [warning] <0.1561.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:48.241561+00:00 [error] <0.1561.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:51.245574+00:00 [error] <0.1561.0> Rejected MQTT connection 192.168.80.4:54954 -> 192.168.80.2:1883 with Connect Reason Code 134[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.381588+00:00 [info] <0.1567.0> accepting STOMP connection <0.1567.0> (192.168.80.4:40028 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:54.383916+00:00 [warning] <0.1571.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:20:54.385889+00:00 [warning] <0.1567.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> STOMP error frame sent:[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Message: "Bad CONNECT"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:20:54.386054+00:00 [error] <0.1567.0> Server private detail: none[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.449321+00:00 [info] <0.1567.0> closing STOMP connection <0.1567.0> (192.168.80.4:40028 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.536143+00:00 [info] <0.1576.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.541674+00:00 [info] <0.1576.0> Accepted MQTT connection 192.168.80.4:35958 -> 192.168.80.2:1883 for client ID compat-31[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.542634+00:00 [info] <0.1576.0> MQTT connection <<"192.168.80.4:35958 -> 192.168.80.2:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.544415+00:00 [info] <0.1581.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.545594+00:00 [info] <0.1581.0> Accepted MQTT connection 192.168.80.4:35966 -> 192.168.80.2:1883 for client ID compat-311[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.547075+00:00 [info] <0.1581.0> MQTT detected network error for <<"192.168.80.4:35966 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.547421+00:00 [info] <0.1583.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.549279+00:00 [info] <0.1583.0> Accepted MQTT connection 192.168.80.4:35970 -> 192.168.80.2:1883 for client ID compat-50[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.549350+00:00 [info] <0.1583.0> MQTT detected network error for <<"192.168.80.4:35970 -> 192.168.80.2:1883">>: einval[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.606103+00:00 [info] <0.1594.0> accepting STOMP connection <0.1594.0> (192.168.80.4:40036 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.606821+00:00 [info] <0.1598.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.638707+00:00 [info] <0.1594.0> closing STOMP connection <0.1594.0> (192.168.80.4:40036 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.639404+00:00 [info] <0.1617.0> accepting STOMP connection <0.1617.0> (192.168.80.4:40040 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.639709+00:00 [info] <0.1621.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649378+00:00 [info] <0.1617.0> closing STOMP connection <0.1617.0> (192.168.80.4:40040 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649622+00:00 [info] <0.1636.0> accepting STOMP connection <0.1636.0> (192.168.80.4:40056 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.649975+00:00 [info] <0.1640.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:20:54.655605+00:00 [info] <0.1636.0> closing STOMP connection <0.1636.0> (192.168.80.4:40056 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:21:39.866015+00:00 [info] <0.1775.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:21:39.866015+00:00 [info] <0.1775.0>     rabbitmq_mqtt[0m
rabbitmq-2-1  | 2026-08-30 14:21:39.866015+00:00 [info] <0.1775.0> [0m
rabbitmq-2-1  | 2026-08-30 14:21:39.869636+00:00 [info] <0.1775.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-2-1  | 2026-08-30 14:21:39.873424+00:00 [info] <0.1353.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:21:39.951443+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:21:40.026040+00:00 [info] <0.1775.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-2-1  | 2026-08-30 14:21:54.822600+00:00 [info] <0.1874.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.822600+00:00 [info] <0.1874.0>     rabbitmq_stomp[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.822600+00:00 [info] <0.1874.0> [0m
rabbitmq-2-1  | 2026-08-30 14:21:54.822870+00:00 [info] <0.1874.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.823605+00:00 [info] <0.1305.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:21:54.840538+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.870185+00:00 [info] <0.1874.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0>     rabbitmq_stream[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0>     rabbitmq_stream_common[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0> [0m
