rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:03.532702+00:00 [error] <0.766.0>                             [{'rabbit@rabbitmq-1',running},[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:43:07.106466+00:00 [notice] <0.3725.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': leader -> terminating_leader in term: 1 machine version: 8, last applied 448[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:43:07.109430+00:00 [notice] <0.3725.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.113591+00:00 [info] <15327.3391.0> Deleting server '%2F_atlas.1788100986247897000.performance.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.114839+00:00 [info] <15328.3342.0> Deleting server '%2F_atlas.1788100986247897000.performance.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.125409+00:00 [info] <0.3748.0> Stream: __atlas_1788100986247897000_performance_stream_1788100987119661264 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/stream/__atlas_1788100986247897000_performance_stream_1788100987119661264 for osiris log data directory[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.127130+00:00 [info] <0.3748.0> osiris_writer:init/1: name: __atlas_1788100986247897000_performance_stream_1788100987119661264 committed offset: -1 committed chunk id: -1 epoch: 1[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.136487+00:00 [info] <0.3751.0> __atlas_1788100986247897000_performance_stream_1788100987119661264 [osiris_replica_reader:init/1] replica reader successfully connected to host {192,168,80,2} port 6232[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.137169+00:00 [info] <0.3752.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.137571+00:00 [info] <0.3751.0> __atlas_1788100986247897000_performance_stream_1788100987119661264 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.137910+00:00 [info] <0.3754.0> __atlas_1788100986247897000_performance_stream_1788100987119661264 [osiris_replica_reader:init/1] replica reader successfully connected to host {192,168,80,4} port 6327[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.139568+00:00 [info] <0.3754.0> __atlas_1788100986247897000_performance_stream_1788100987119661264 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.643606+00:00 [info] <0.3755.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.655211+00:00 [info] <0.3748.0> osiris_writer:terminate/2: name __atlas_1788100986247897000_performance_stream_1788100987119661264 reason: shutdown[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.659342+00:00 [info] <0.3694.0> closing AMQP connection (192.168.80.1:64348 -> 192.168.80.3:5672, vhost: '/', user: 'atlas', duration: '1s')[0m
rabbitmq-1-1  | 2026-08-30 14:43:08.434834+00:00 [info] <0.762.0> Memory high watermark set to 0 MiB (1 bytes) of 7933 MiB (8319238144 bytes) total[0m
rabbitmq-1-1  | 2026-08-30 14:43:08.435268+00:00 [info] <0.762.0> vm_memory_high_watermark set. Memory used:173838336 allowed:1[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:08.435621+00:00 [warning] <0.760.0> memory resource limit alarm set on node 'rabbit@rabbitmq-1'.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:08.435621+00:00 [warning] <0.760.0> [0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:08.435621+00:00 [warning] <0.760.0> **********************************************************[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:08.435621+00:00 [warning] <0.760.0> *** Publishers will be blocked until this alarm clears ***[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:08.435621+00:00 [warning] <0.760.0> **********************************************************[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:08.435621+00:00 [warning] <0.760.0> [0m
rabbitmq-1-1  | 2026-08-30 14:43:08.754869+00:00 [info] <0.3771.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:08.757789+00:00 [info] <0.3775.0> accepting AMQP connection 192.168.80.1:32202 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:43:08.759735+00:00 [info] <0.3775.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:08.760573+00:00 [info] <0.3775.0> connection 192.168.80.1:32202 -> 192.168.80.3:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.208680+00:00 [info] <0.762.0> Memory high watermark set to 3173 MiB (3327695257 bytes) of 7933 MiB (8319238144 bytes) total[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.210881+00:00 [info] <0.762.0> vm_memory_high_watermark clear. Memory used:168157184 allowed:3327695257[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:17.211132+00:00 [warning] <0.760.0> memory resource limit alarm cleared on node 'rabbit@rabbitmq-1'[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:17.211234+00:00 [warning] <0.760.0> memory resource limit alarm cleared across the cluster[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:17.211717+00:00 [warning] <0.3775.0> closing AMQP connection <0.3775.0> (192.168.80.1:32202 -> 192.168.80.3:5672, vhost: '/', user: 'atlas', duration: '8s'):[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:17.211717+00:00 [warning] <0.3775.0> client unexpectedly closed TCP connection[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:17.213548+00:00 [warning] <0.3784.0> Channel is stopping with 1 pending publisher confirms[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.469568+00:00 [info] <0.3804.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.472426+00:00 [info] <0.3808.0> accepting AMQP connection 192.168.80.1:22303 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.475086+00:00 [info] <0.3808.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.476514+00:00 [info] <0.3808.0> connection 192.168.80.1:22303 -> 192.168.80.3:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.488600+00:00 [info] <0.3808.0> closing AMQP connection (192.168.80.1:22303 -> 192.168.80.3:5672, vhost: '/', user: 'atlas', duration: '16ms')[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.694663+00:00 [info] <0.3829.0> accepting AMQP connection 192.168.80.1:35571 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.696488+00:00 [info] <0.3829.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.698039+00:00 [info] <0.3829.0> connection 192.168.80.1:35571 -> 192.168.80.3:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.703452+00:00 [info] <0.3838.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.703563+00:00 [info] <0.3838.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.703628+00:00 [info] <0.3838.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:43:17.733289+00:00 [notice] <0.3845.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': candidate -> leader in term: 1 machine version: 8, last applied 0[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.734014+00:00 [info] <0.3838.0> ra: started cluster '%2F_atlas.1788100997691701000.quorum-recovery' with 3 servers. 0 servers failed to start: []. Leader: {'%2F_atlas.1788100997691701000.quorum-recovery','rabbit@rabbitmq-1'}[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.734203+00:00 [info] <0.3838.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.762019+00:00 [info] <0.3856.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:17.768775+00:00 [info] <0.3829.0> closing AMQP connection (192.168.80.1:35571 -> 192.168.80.3:5672, vhost: '/', user: 'atlas', duration: '74ms')[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:43:18.019505+00:00 [notice] <0.64.0> SIGTERM received - shutting down[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:43:18.019505+00:00 [notice] <0.64.0> [0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.023435+00:00 [warning] <0.866.0> HTTP listener registry could not find context rabbitmq_prometheus_tls[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.038838+00:00 [warning] <0.866.0> HTTP listener registry could not find context rabbitmq_management_tls[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.052208+00:00 [info] <0.995.0> stopped TCP listener on [::]:5672[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.056118+00:00 [info] <0.807.0> Virtual host '/' is stopping[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.058027+00:00 [info] <0.3866.0> Closing all connections in vhost '/' on node 'rabbit@rabbitmq-1' because the vhost is stopping[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.058100+00:00 [info] <0.820.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent'[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.070851+00:00 [info] <0.820.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent' is stopped[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.071093+00:00 [info] <0.816.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_transient'[0m
rabbitmq-1-1  | 2026-08-30 14:43:18.078951+00:00 [info] <0.816.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_transient' is stopped[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.087686+00:00 [warning] <0.535.0> RabbitMQ metadata store: worker exited with shutdown[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.097727+00:00 [warning] <0.3845.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': worker exited with shutdown[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:18.102006+00:00 [warning] <0.798.0> rabbit_stream_coordinator: worker exited with shutdown[0m
