rabbitmq-1-1  |
rabbitmq-1-1  | 2026-08-30 14:37:53.764128+00:00 [info] <0.209.0> Running boot step external_infrastructure defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764245+00:00 [info] <0.209.0> Running boot step rabbit_event defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764354+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764472+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_anonymous defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764535+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764592+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764695+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764818+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764901+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.764958+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_local_random defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.765009+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_modulus_hash defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.765070+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.765096+00:00 [info] <0.209.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.765125+00:00 [info] <0.209.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.765183+00:00 [info] <0.209.0> Running boot step kernel_ready defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.765211+00:00 [info] <0.209.0> Running boot step pg_local_amqp_connection defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.774524+00:00 [info] <0.209.0> Running boot step pg_local_amqp_session defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.774642+00:00 [info] <0.209.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.774842+00:00 [info] <0.209.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.776082+00:00 [info] <0.772.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.776289+00:00 [info] <0.209.0> Running boot step guid_generator defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.779693+00:00 [info] <0.209.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.780064+00:00 [info] <0.776.0> Starting rabbit_node_monitor[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.780136+00:00 [info] <0.209.0> Running boot step delegate_sup defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.780580+00:00 [info] <0.209.0> Running boot step rabbit_chaos defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.780678+00:00 [info] <0.209.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.780713+00:00 [info] <0.209.0> Running boot step core_initialized defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.780726+00:00 [info] <0.209.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.780805+00:00 [info] <0.209.0> Running boot step rabbit_classic_queue_type defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.780929+00:00 [info] <0.209.0> Running boot step rabbit_classic_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.781176+00:00 [info] <0.209.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.781224+00:00 [info] <0.209.0> Running boot step rabbit_definitions_hashing defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.781253+00:00 [info] <0.209.0> Running boot step rabbit_exchange_parameters defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.783307+00:00 [info] <0.209.0> Running boot step rabbit_policies defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.783569+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue_type defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.783635+00:00 [info] <0.209.0> Running boot step rabbit_stream_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.783675+00:00 [info] <0.209.0> Running boot step rabbit_policy defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.783892+00:00 [info] <0.209.0> Running boot step rabbit_quorum_event_subscriber defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.783931+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.784054+00:00 [info] <0.209.0> Running boot step quorum_memory_alarm_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.784076+00:00 [info] <0.209.0> Running boot step rabbit_stream_coordinator defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.788626+00:00 [info] <0.209.0> Running boot step rabbit_vhost_limit defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.788821+00:00 [info] <0.209.0> Running boot step rabbit_mgmt_reset_handler defined by app rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.788969+00:00 [info] <0.209.0> Running boot step rabbit_mgmt_db_handler defined by app rabbitmq_management_agent[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.789129+00:00 [info] <0.209.0> Management plugin: using rates mode 'basic'[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.791221+00:00 [info] <0.209.0> Running boot step recovery defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.791752+00:00 [info] <0.807.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.824438+00:00 [info] <0.807.0> Starting message stores for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.835242+00:00 [info] <0.807.0> Started message store of type transient for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.881560+00:00 [info] <0.807.0> Started message store of type persistent for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.881739+00:00 [info] <0.807.0> Recovering 0 queues of type rabbit_classic_queue took 78ms[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.881768+00:00 [info] <0.807.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.881785+00:00 [info] <0.807.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.881898+00:00 [info] <0.209.0> Running boot step prevent_startup_if_node_was_reset defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.881925+00:00 [info] <0.209.0> Running boot step empty_db_check defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882015+00:00 [info] <0.209.0> Will not seed default virtual host and user: have definitions to load...[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882028+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882128+00:00 [info] <0.209.0> Running boot step rabbit_core_metrics_gc defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882326+00:00 [info] <0.209.0> Running boot step background_gc defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882464+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_classic_queues defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882549+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_quorum_queues defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882631+00:00 [info] <0.209.0> Running boot step routing_ready defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882674+00:00 [info] <0.209.0> Running boot step pre_flight defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882694+00:00 [info] <0.209.0> Running boot step notify_cluster defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882828+00:00 [info] <0.209.0> Running boot step networking defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882853+00:00 [info] <0.776.0> rabbit on node 'rabbit@rabbitmq-2' up[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882845+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue_periodic_membership_reconciliation defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882942+00:00 [info] <0.209.0> Running boot step definition_import_worker_pool defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.882966+00:00 [info] <0.557.0> Starting worker pool 'definition_import_pool' with 12 processes in it[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.883066+00:00 [info] <0.776.0> rabbit on node 'rabbit@rabbitmq-3' up[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.883366+00:00 [info] <0.209.0> Running boot step cluster_name defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.883404+00:00 [info] <0.209.0> Running boot step virtual_host_reconciliation defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.883917+00:00 [info] <0.209.0> Running boot step direct_client defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.884463+00:00 [info] <0.209.0> Running boot step logger_exchange defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.886861+00:00 [info] <0.209.0> Running boot step cluster_tags defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.892340+00:00 [info] <0.209.0> Running boot step queue_type_registrations defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.892530+00:00 [info] <0.209.0> Running boot step rabbit_management_load_definitions defined by app rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.892818+00:00 [info] <0.854.0> Resetting node maintenance status[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:53.910693+00:00 [warning] <0.871.0> Deprecated features: `management_metrics_collection`: Feature `management_metrics_collection` is deprecated.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:53.910693+00:00 [warning] <0.871.0> By default, this feature can still be used for now.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:53.910693+00:00 [warning] <0.871.0> Its use will not be permitted by default in a future minor RabbitMQ version and the feature will be removed from a future major RabbitMQ version; actual versions to be determined.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:53.910693+00:00 [warning] <0.871.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:53.910693+00:00 [warning] <0.871.0>     "deprecated_features.permit.management_metrics_collection = true"[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:53.910693+00:00 [warning] <0.871.0> To test RabbitMQ as if the feature was removed, set this in your configuration:[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:53.910693+00:00 [warning] <0.871.0>     "deprecated_features.permit.management_metrics_collection = false"[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.955610+00:00 [info] <0.907.0> Management plugin: HTTP (non-TLS) listener started on port 15672[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.955885+00:00 [info] <0.936.0> Statistics database started.[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.955951+00:00 [info] <0.935.0> Starting worker pool 'management_worker_pool' with 3 processes in it[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.974046+00:00 [info] <0.947.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.974199+00:00 [info] <0.854.0> Ready to start client connection listeners[0m
rabbitmq-1-1  | 2026-08-30 14:37:53.977603+00:00 [info] <0.995.0> started TCP listener on [::]:5672[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.093903+00:00 [info] <0.776.0> rabbit on node 'rabbit@rabbitmq-2' up[0m
rabbitmq-1-1  |  completed with 4 plugins.
rabbitmq-1-1  | 2026-08-30 14:37:54.112647+00:00 [info] <0.854.0> Server startup complete; 4 plugins started.[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.112647+00:00 [info] <0.854.0>  * rabbitmq_prometheus[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.112647+00:00 [info] <0.854.0>  * rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.112647+00:00 [info] <0.854.0>  * rabbitmq_management_agent[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.112647+00:00 [info] <0.854.0>  * rabbitmq_web_dispatch[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.238619+00:00 [info] <0.776.0> rabbit on node 'rabbit@rabbitmq-3' up[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.294694+00:00 [info] <0.10.0> Time to start RabbitMQ: 7879 ms[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.370606+00:00 [info] <0.798.0> rabbit_stream_coordinator: granting vote for {rabbit_stream_coordinator,'rabbit@rabbitmq-2'} with last {index, term} {619,24} for term 26 previous term was 25[0m
rabbitmq-1-1  | 2026-08-30 14:37:54.378524+00:00 [info] <0.798.0> rabbit_stream_coordinator: detected a new leader {rabbit_stream_coordinator,'rabbit@rabbitmq-2'} in term 26[0m
rabbitmq-1-1  | 2026-08-30 14:37:57.230137+00:00 [info] <0.1051.0> accepting AMQP connection 192.168.80.1:48327 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:37:57.232343+00:00 [info] <0.1055.0> accepting AMQP connection 192.168.80.1:34160 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:57.238755+00:00 [warning] <0.1055.0> closing AMQP connection <0.1055.0> (192.168.80.1:34160 -> 192.168.80.3:5672, duration: '6ms'):[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:57.238755+00:00 [warning] <0.1055.0> client unexpectedly closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:37:57.239671+00:00 [info] <0.1061.0> accepting AMQP connection 192.168.80.1:35329 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:37:57.239805+00:00 [error] <0.1061.0> closing AMQP connection <0.1061.0> (192.168.80.1:35329 -> 192.168.80.3:5672, duration: '0ms'):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:37:57.239805+00:00 [error] <0.1061.0> {bad_version,{3,2,0,0}}[0m
rabbitmq-1-1  | 2026-08-30 14:37:57.241003+00:00 [info] <0.1067.0> accepting AMQP connection 192.168.80.1:34989 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:37:57.241089+00:00 [error] <0.1067.0> closing AMQP 1.0 connection (192.168.80.1:34989 -> 192.168.80.3:5672, duration: '1ms'): RabbitMQ requires SASL security layer (expected protocol ID 3, but client sent protocol ID 0)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:57.257519+00:00 [warning] <0.1051.0> closing AMQP connection <0.1051.0> (192.168.80.1:48327 -> 192.168.80.3:5672, duration: '27ms'):[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:37:57.257519+00:00 [warning] <0.1051.0> client unexpectedly closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.044649+00:00 [info] <0.1258.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.046457+00:00 [info] <0.1277.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.052301+00:00 [info] <0.1299.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.056902+00:00 [info] <0.1305.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.059341+00:00 [info] <0.1305.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.060389+00:00 [info] <0.1325.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.061753+00:00 [info] <0.1201.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-1-1  | 2026-08-30 14:38:03.061753+00:00 [info] <0.1201.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-1-1  | 2026-08-30 14:38:41.684753+00:00 [info] <0.1456.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.691045+00:00 [info] <0.1456.0> Accepted MQTT connection 192.168.80.3:53724 -> 192.168.80.3:1883 for client ID sub-qos1-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.810677+00:00 [info] <0.1463.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.815944+00:00 [info] <0.1463.0> Accepted MQTT connection 192.168.80.3:53738 -> 192.168.80.3:1883 for client ID pub-qos1-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.827730+00:00 [info] <0.1463.0> MQTT connection <<"192.168.80.3:53738 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:41.828234+00:00 [info] <0.1456.0> MQTT connection <<"192.168.80.3:53724 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.045517+00:00 [info] <0.1476.0> accepting STOMP connection <0.1476.0> (192.168.80.3:54032 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:38:42.058993+00:00 [warning] <0.1476.0> AMQP 0-9-1 client call timeout was 70000 ms, is updated to a safe effective value of 130000 ms[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.085228+00:00 [info] <0.1480.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.146635+00:00 [info] <0.1476.0> closing STOMP connection <0.1476.0> (192.168.80.3:54032 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.369795+00:00 [info] <0.1497.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.371390+00:00 [info] <0.1497.0> Accepted MQTT connection 192.168.80.3:53754 -> 192.168.80.3:1883 for client ID sub-qos0-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.389756+00:00 [info] <0.1500.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.393361+00:00 [info] <0.1500.0> Accepted MQTT connection 192.168.80.3:53762 -> 192.168.80.3:1883 for client ID pub-qos0-rabbitmq-1-1883[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.394846+00:00 [info] <0.1500.0> MQTT connection <<"192.168.80.3:53762 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.395482+00:00 [info] <0.1497.0> MQTT connection <<"192.168.80.3:53754 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.469938+00:00 [info] <0.1513.0> accepting STOMP connection <0.1513.0> (192.168.80.3:54048 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.475898+00:00 [info] <0.1517.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:42.481687+00:00 [info] <0.1513.0> closing STOMP connection <0.1513.0> (192.168.80.3:54048 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:38:42.503945+00:00 [warning] <0.1534.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:42.504177+00:00 [error] <0.1534.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:45.506179+00:00 [error] <0.1534.0> Rejected MQTT connection 192.168.80.3:53772 -> 192.168.80.3:1883 with Connect Reason Code 134[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.545264+00:00 [info] <0.1541.0> accepting STOMP connection <0.1541.0> (192.168.80.3:41992 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:38:51.550786+00:00 [warning] <0.1545.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:38:51.552309+00:00 [warning] <0.1541.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:51.552447+00:00 [error] <0.1541.0> STOMP error frame sent:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:51.552447+00:00 [error] <0.1541.0> Message: "Bad CONNECT"[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:51.552447+00:00 [error] <0.1541.0> Detail: "Access refused for user 'atlas'"[0m
