rabbitmq-1-1  | 2026-08-30 13:56:10.834551+00:00 [info] <0.2520.0> Started message store of type persistent for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 13:57:37.567669+00:00 [notice] <0.3118.0> queue 'atlas.1788098255737477000.performance.quorum' in vhost '/': leader -> terminating_leader in term: 1 machine version: 8, last applied 438[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 13:57:37.569368+00:00 [notice] <0.3118.0> queue 'atlas.1788098255737477000.performance.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.574087+00:00 [info] <15327.2738.0> Deleting server '%2F_atlas.1788098255737477000.performance.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.575604+00:00 [info] <15328.2777.0> Deleting server '%2F_atlas.1788098255737477000.performance.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.585026+00:00 [info] <0.3141.0> Stream: __atlas_1788098255737477000_performance_stream_1788098257581834556 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/stream/__atlas_1788098255737477000_performance_stream_1788098257581834556 for osiris log data directory[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.589114+00:00 [info] <0.3141.0> osiris_writer:init/1: name: __atlas_1788098255737477000_performance_stream_1788098257581834556 committed offset: -1 committed chunk id: -1 epoch: 1[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.597519+00:00 [info] <0.3144.0> __atlas_1788098255737477000_performance_stream_1788098257581834556 [osiris_replica_reader:init/1] replica reader successfully connected to host {192,168,80,3} port 6253[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.598740+00:00 [info] <0.3144.0> __atlas_1788098255737477000_performance_stream_1788098257581834556 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.599181+00:00 [info] <0.3146.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.599898+00:00 [info] <0.3145.0> __atlas_1788098255737477000_performance_stream_1788098257581834556 [osiris_replica_reader:init/1] replica reader successfully connected to host {192,168,80,4} port 6308[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.601408+00:00 [info] <0.3145.0> __atlas_1788098255737477000_performance_stream_1788098257581834556 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 13:57:38.090176+00:00 [info] <0.3148.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:38.111341+00:00 [info] <0.3141.0> osiris_writer:terminate/2: name __atlas_1788098255737477000_performance_stream_1788098257581834556 reason: shutdown[0m
rabbitmq-1-1  | 2026-08-30 13:57:38.119610+00:00 [info] <0.3087.0> closing AMQP connection (192.168.80.1:24177 -> 192.168.80.2:5672, vhost: '/', user: 'atlas', duration: '2s')[0m
rabbitmq-1-1  | 2026-08-30 13:57:39.446888+00:00 [info] <0.789.0> Memory high watermark set to 0 MiB (1 bytes) of 7933 MiB (8319238144 bytes) total[0m
rabbitmq-1-1  | 2026-08-30 13:57:39.447284+00:00 [info] <0.789.0> vm_memory_high_watermark set. Memory used:166842368 allowed:1[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:39.447781+00:00 [warning] <0.787.0> memory resource limit alarm set on node 'rabbit@rabbitmq-1'.[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:39.447781+00:00 [warning] <0.787.0> [0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:39.447781+00:00 [warning] <0.787.0> **********************************************************[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:39.447781+00:00 [warning] <0.787.0> *** Publishers will be blocked until this alarm clears ***[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:39.447781+00:00 [warning] <0.787.0> **********************************************************[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:39.447781+00:00 [warning] <0.787.0> [0m
rabbitmq-1-1  | 2026-08-30 13:57:39.760067+00:00 [info] <0.3164.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:39.763583+00:00 [info] <0.3168.0> accepting AMQP connection 192.168.80.1:64185 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | 2026-08-30 13:57:39.766805+00:00 [info] <0.3168.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:39.768575+00:00 [info] <0.3168.0> connection 192.168.80.1:64185 -> 192.168.80.2:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.217873+00:00 [info] <0.789.0> Memory high watermark set to 3173 MiB (3327695257 bytes) of 7933 MiB (8319238144 bytes) total[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.219668+00:00 [info] <0.789.0> vm_memory_high_watermark clear. Memory used:161271808 allowed:3327695257[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:48.219965+00:00 [warning] <0.787.0> memory resource limit alarm cleared on node 'rabbit@rabbitmq-1'[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:48.220087+00:00 [warning] <0.787.0> memory resource limit alarm cleared across the cluster[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:48.224104+00:00 [warning] <0.3168.0> closing AMQP connection <0.3168.0> (192.168.80.1:64185 -> 192.168.80.2:5672, vhost: '/', user: 'atlas', duration: '8s'):[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:48.224104+00:00 [warning] <0.3168.0> client unexpectedly closed TCP connection[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:48.225892+00:00 [warning] <0.3177.0> Channel is stopping with 1 pending publisher confirms[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.597221+00:00 [info] <0.3197.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.604856+00:00 [info] <0.3201.0> accepting AMQP connection 192.168.80.1:31014 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.616108+00:00 [info] <0.3201.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.619557+00:00 [info] <0.3201.0> connection 192.168.80.1:31014 -> 192.168.80.2:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.645243+00:00 [info] <0.3201.0> closing AMQP connection (192.168.80.1:31014 -> 192.168.80.2:5672, vhost: '/', user: 'atlas', duration: '41ms')[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.973224+00:00 [info] <0.3222.0> accepting AMQP connection 192.168.80.1:28175 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.982501+00:00 [info] <0.3222.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:48.987340+00:00 [info] <0.3222.0> connection 192.168.80.1:28175 -> 192.168.80.2:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.049618+00:00 [info] <0.3231.0> queue 'atlas.1788098268966693000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.049818+00:00 [info] <0.3231.0> queue 'atlas.1788098268966693000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.050194+00:00 [info] <0.3231.0> queue 'atlas.1788098268966693000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 13:57:49.229779+00:00 [notice] <0.3238.0> queue 'atlas.1788098268966693000.quorum-recovery' in vhost '/': candidate -> leader in term: 1 machine version: 8, last applied 0[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.230749+00:00 [info] <0.3231.0> ra: started cluster '%2F_atlas.1788098268966693000.quorum-recovery' with 3 servers. 0 servers failed to start: []. Leader: {'%2F_atlas.1788098268966693000.quorum-recovery','rabbit@rabbitmq-1'}[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.231124+00:00 [info] <0.3231.0> queue 'atlas.1788098268966693000.quorum-recovery' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.317216+00:00 [info] <0.3249.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.334014+00:00 [info] <0.3222.0> closing AMQP connection (192.168.80.1:28175 -> 192.168.80.2:5672, vhost: '/', user: 'atlas', duration: '360ms')[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 13:57:49.715309+00:00 [notice] <0.64.0> SIGTERM received - shutting down[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 13:57:49.715309+00:00 [notice] <0.64.0> [0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:49.728674+00:00 [warning] <0.893.0> HTTP listener registry could not find context rabbitmq_prometheus_tls[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:49.767286+00:00 [warning] <0.893.0> HTTP listener registry could not find context rabbitmq_management_tls[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.787574+00:00 [info] <0.1017.0> stopped TCP listener on [::]:5672[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.791998+00:00 [info] <0.834.0> Virtual host '/' is stopping[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.792160+00:00 [info] <0.3259.0> Closing all connections in vhost '/' on node 'rabbit@rabbitmq-1' because the vhost is stopping[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.792336+00:00 [info] <0.848.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent'[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.808182+00:00 [info] <0.848.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent' is stopped[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.808498+00:00 [info] <0.844.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_transient'[0m
rabbitmq-1-1  | 2026-08-30 13:57:49.822350+00:00 [info] <0.844.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L/msg_store_transient' is stopped[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:49.845950+00:00 [warning] <0.535.0> RabbitMQ metadata store: worker exited with shutdown[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:49.853525+00:00 [warning] <0.3238.0> queue 'atlas.1788098268966693000.quorum-recovery' in vhost '/': worker exited with shutdown[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:57:49.856962+00:00 [warning] <0.825.0> rabbit_stream_coordinator: worker exited with shutdown[0m
